order_id,shipping_carrier,actual_shipping_cost,delivery_days,return_handling_cost,support_tickets
82,FedEx,24.48,7,0.0,1
83,Standard,11.94,3,0.0,0
84,DHL,15.69,3,12.83,1
85,FedEx,17.49,3,0.0,0
86,FedEx,8.22,3,9.53,0
87,Standard,37.96,5,7.17,0
88,FedEx,32.48,5,0.0,0
89,UPS,49.57,2,0.0,0
90,Standard,7.77,3,0.0,0
91,Standard,59.88,2,0.0,0
92,FedEx,117.49,6,0.0,2
93,FedEx,14.87,2,0.0,1
94,Standard,20.17,2,26.35,1
95,DHL,12.37,2,0.0,0
96,DHL,15.95,2,6.81,0
97,UPS,8.58,3,0.0,0
98,Standard,7.04,2,0.0,0
99,UPS,16.6,2,13.49,0
100,Standard,37.0,7,13.44,0
101,Standard,10.42,3,0.0,0
102,Standard,15.35,2,0.0,1
103,UPS,10.6,5,8.88,0
104,UPS,138.04,6,0.0,0
105,UPS,33.86,3,0.0,0
106,FedEx,9.24,2,0.0,0
107,UPS,39.29,2,7.23,1
108,FedEx,39.71,9,0.0,0
109,Standard,9.98,4,0.0,0
110,DHL,8.74,3,12.76,0
111,Standard,6.95,4,0.0,0
112,UPS,7.7,2,9.72,1
113,Standard,6.24,3,11.57,1
114,FedEx,45.68,1,0.0,1
115,DHL,15.23,2,0.0,0
116,Standard,34.62,2,0.0,0
117,UPS,13.32,3,0.0,0
118,FedEx,36.42,2,0.0,0
119,Standard,18.8,4,12.45,1
120,DHL,8.64,1,0.0,0
121,UPS,27.61,3,0.0,0
122,Standard,5.32,1,9.39,1
123,UPS,7.06,3,0.0,1
124,Standard,15.03,2,6.85,1
125,DHL,24.81,3,0.0,0
126,FedEx,67.22,6,0.0,0
127,FedEx,11.63,2,0.0,0
128,UPS,89.83,1,7.17,0
129,UPS,19.55,4,0.0,0
130,FedEx,19.99,7,0.0,1
131,UPS,37.24,3,8.35,0
132,Standard,11.74,3,0.0,0
133,DHL,13.71,2,11.6,1
134,FedEx,20.77,5,0.0,0
135,FedEx,39.41,4,11.33,2
136,FedEx,27.97,7,13.35,1
137,Standard,23.05,3,0.0,0
138,DHL,21.61,3,0.0,1
139,Standard,32.24,2,0.0,0
140,Standard,93.03,6,24.88,1
141,Standard,5.38,2,0.0,0
142,UPS,38.75,2,17.31,0
143,FedEx,22.17,3,0.0,0
144,FedEx,6.84,2,0.0,0
145,FedEx,25.71,2,0.0,2
146,DHL,40.01,1,0.0,1
147,FedEx,36.12,1,0.0,0
148,Standard,7.83,3,0.0,0
149,FedEx,19.18,7,0.0,1
150,Standard,43.12,6,0.0,0
151,Standard,8.72,1,0.0,0
152,Standard,9.01,3,0.0,0
153,Standard,69.93,3,11.93,0
154,DHL,9.56,4,0.0,0
155,FedEx,21.62,4,0.0,0
156,UPS,12.66,3,12.97,0
157,UPS,9.86,3,9.38,0
158,Standard,16.2,3,0.0,0
159,Standard,9.86,2,0.0,1
160,Standard,6.4,1,0.0,1
161,UPS,7.78,3,7.2,0
162,FedEx,21.18,5,0.0,0
163,FedEx,26.37,1,0.0,0
164,FedEx,13.84,2,0.0,0
165,Standard,33.47,2,0.0,0
166,Standard,18.67,8,0.0,0
167,Standard,22.31,3,10.92,1
168,DHL,91.34,3,0.0,1
169,Standard,6.03,2,8.16,2
170,Standard,7.16,2,12.59,1
171,UPS,20.1,1,0.0,0
172,Standard,28.25,2,0.0,0
173,Standard,6.9,2,0.0,0
174,FedEx,7.02,1,8.18,0
175,UPS,8.4,4,0.0,0
176,FedEx,17.12,5,0.0,0
177,Standard,22.25,6,0.0,0
178,Standard,17.11,4,0.0,0
179,UPS,11.34,3,0.0,1
180,Standard,13.18,1,0.0,1
181,FedEx,11.37,1,0.0,0
182,Standard,25.77,5,0.0,0
183,FedEx,9.17,1,22.95,0
184,Standard,21.71,3,6.1,1
185,UPS,21.71,1,0.0,0
186,DHL,14.76,2,0.0,0
187,DHL,16.05,2,0.0,0
188,FedEx,34.84,2,0.0,0
189,Standard,53.39,1,0.0,0
190,FedEx,12.84,3,0.0,0
191,Standard,7.09,2,0.0,0
192,UPS,12.01,3,0.0,1
193,Standard,9.12,2,0.0,0
194,DHL,29.29,2,0.0,0
195,UPS,14.18,1,0.0,1
196,Standard,16.69,1,0.0,0
197,Standard,42.79,2,0.0,1
198,FedEx,13.67,3,8.3,0
199,FedEx,20.67,1,0.0,0
200,Standard,15.46,4,16.08,2
201,Standard,56.53,7,13.8,1
202,UPS,49.44,5,11.06,0
203,Standard,23.18,7,0.0,0
204,DHL,10.27,3,0.0,0
205,FedEx,34.39,4,0.0,1
206,FedEx,7.25,1,0.0,0
207,FedEx,12.0,4,0.0,0
208,UPS,7.93,4,0.0,0
209,Standard,14.51,2,10.63,0
210,UPS,12.02,1,0.0,0
211,DHL,8.76,3,0.0,0
212,Standard,21.07,2,7.7,0
213,Standard,22.88,2,32.97,1
214,Standard,67.17,3,0.0,0
215,UPS,9.36,2,0.0,0
216,Standard,25.87,1,0.0,0
217,UPS,23.32,4,0.0,0
218,Standard,13.43,2,0.0,0
219,Standard,8.7,5,0.0,1
220,Standard,7.26,3,0.0,1
221,FedEx,9.97,2,0.0,0
222,FedEx,13.94,3,0.0,0
223,Standard,5.8,3,0.0,0
224,Standard,7.07,3,0.0,0
225,FedEx,20.3,2,0.0,0
226,Standard,31.26,3,0.0,1
227,Standard,6.22,2,11.54,0
228,FedEx,14.99,1,0.0,1
229,Standard,43.9,7,0.0,0
230,UPS,6.58,2,0.0,1
231,DHL,12.82,3,0.0,0
232,FedEx,9.47,3,0.0,0
233,FedEx,35.37,6,6.94,1
234,DHL,21.85,4,0.0,0
235,Standard,14.69,7,0.0,0
236,Standard,12.01,6,0.0,1
237,FedEx,14.44,4,0.0,1
238,Standard,5.75,3,0.0,0
239,FedEx,6.93,1,0.0,0
240,UPS,6.76,2,0.0,0
241,FedEx,22.19,3,0.0,0
242,FedEx,101.44,3,0.0,0
243,Standard,25.1,2,0.0,0
244,Standard,39.39,5,0.0,2
245,Standard,26.68,7,12.03,1
246,Standard,17.19,3,0.0,1
247,Standard,59.41,8,0.0,0
248,UPS,74.51,4,0.0,1
249,UPS,41.24,5,7.96,2
250,Standard,45.8,6,6.68,1
251,UPS,11.58,1,0.0,0
252,Standard,6.11,2,0.0,1
253,UPS,51.85,3,0.0,0
254,Standard,23.24,2,0.0,1
255,FedEx,9.0,4,9.43,1
256,Standard,11.2,3,0.0,0
257,Standard,10.07,3,0.0,0
258,FedEx,11.74,2,10.21,1
259,DHL,8.66,1,11.34,0
260,Standard,8.14,4,0.0,0
261,DHL,22.92,3,0.0,1
262,Standard,41.24,5,0.0,0
263,FedEx,41.66,5,0.0,0
264,UPS,9.59,3,0.0,0
265,FedEx,8.53,2,0.0,1
266,Standard,8.94,3,0.0,1
267,FedEx,7.37,1,9.58,0
268,UPS,13.57,3,0.0,0
269,DHL,89.49,4,0.0,0
270,UPS,9.86,3,0.0,1
271,DHL,25.88,5,36.59,0
272,Standard,9.29,3,0.0,0
273,Standard,16.2,4,7.8,0
274,Standard,91.27,2,0.0,0
275,FedEx,42.96,4,23.42,1
276,FedEx,24.38,5,0.0,1
277,UPS,7.91,3,0.0,0
278,DHL,9.25,3,0.0,0
279,UPS,31.84,3,0.0,1
280,Standard,14.3,3,0.0,0
281,DHL,7.75,2,9.59,0
282,Standard,7.75,2,0.0,0
283,DHL,46.06,3,0.0,1
284,FedEx,9.76,5,8.53,1
285,UPS,12.15,6,0.0,0
286,Standard,9.87,7,0.0,0
287,DHL,27.09,3,0.0,0
288,DHL,52.88,5,13.23,0
289,FedEx,20.97,2,0.0,0
290,FedEx,21.76,2,0.0,1
291,Standard,11.95,6,0.0,1
292,Standard,27.91,2,0.0,0
293,DHL,125.65,3,0.0,0
294,Standard,15.74,4,0.0,0
295,Standard,8.1,2,0.0,0
296,FedEx,34.74,2,0.0,1
297,Standard,87.52,7,7.54,1
298,FedEx,12.72,4,9.06,0
299,Standard,7.31,2,0.0,0
300,FedEx,91.6,3,7.46,1
301,UPS,10.32,5,9.22,0
302,DHL,12.58,2,0.0,0
303,FedEx,76.37,7,0.0,0
304,FedEx,11.54,5,0.0,0
305,FedEx,12.15,3,0.0,0
306,FedEx,13.86,1,0.0,0
307,Standard,6.27,3,0.0,0
308,Standard,18.72,2,9.05,1
309,FedEx,9.46,3,9.95,0
310,Standard,13.62,4,0.0,1
311,UPS,24.65,2,0.0,1
312,UPS,33.53,6,0.0,1
313,UPS,10.88,3,0.0,1
314,UPS,6.47,2,0.0,0
315,Standard,5.66,3,0.0,1
316,FedEx,51.41,4,7.94,0
317,Standard,50.17,2,0.0,1
318,Standard,7.05,3,0.0,0
319,UPS,9.86,4,0.0,0
320,UPS,22.46,3,0.0,1
321,DHL,75.96,4,0.0,0
322,DHL,46.84,7,8.53,1
323,FedEx,9.62,2,0.0,1
324,DHL,10.68,1,9.64,1
325,UPS,17.49,5,0.0,1
326,Standard,13.05,3,0.0,0
327,Standard,59.59,6,0.0,1
328,UPS,113.02,6,0.0,1
329,Standard,6.27,2,0.0,0
330,FedEx,30.09,7,0.0,0
331,Standard,12.74,2,0.0,0
332,Standard,5.97,2,0.0,0
333,Standard,11.34,3,9.6,1
334,DHL,19.58,1,0.0,0
335,FedEx,45.32,5,0.0,0
336,FedEx,11.17,5,0.0,0
337,FedEx,10.57,4,0.0,0
338,FedEx,7.25,1,8.26,1
339,FedEx,24.82,6,0.0,0
340,UPS,7.85,1,0.0,0
341,Standard,10.84,3,0.0,0
342,UPS,63.11,4,0.0,0
343,FedEx,32.3,3,23.46,1
344,FedEx,57.66,1,0.0,1
345,Standard,10.14,3,0.0,1
346,UPS,9.3,1,0.0,0
347,FedEx,10.18,3,11.2,0
348,UPS,9.66,2,13.68,1
349,DHL,29.96,2,0.0,0
350,UPS,52.09,2,0.0,0
351,FedEx,7.23,2,0.0,0
352,FedEx,16.22,2,0.0,0
353,Standard,24.06,1,0.0,0
354,FedEx,27.17,1,0.0,0
355,FedEx,10.46,4,13.85,0
356,Standard,5.54,3,6.0,0
357,Standard,24.58,2,0.0,0
358,FedEx,7.94,1,0.0,1
359,UPS,35.64,3,0.0,0
360,Standard,13.27,4,0.0,0
361,UPS,60.09,3,11.49,0
362,UPS,14.76,4,0.0,0
363,Standard,8.83,4,0.0,0
364,UPS,11.8,1,0.0,0
365,Standard,42.12,6,0.0,0
366,Standard,22.57,3,11.9,0
367,FedEx,8.62,2,0.0,0
368,FedEx,21.3,5,11.71,1
369,DHL,28.86,4,12.33,1
370,Standard,40.74,6,0.0,2
371,FedEx,26.31,3,0.0,0
372,Standard,20.49,6,13.71,0
373,FedEx,40.18,3,0.0,1
374,UPS,10.72,1,0.0,0
375,Standard,25.64,1,0.0,0
376,Standard,57.25,7,0.0,1
377,FedEx,11.78,5,0.0,0
378,Standard,21.54,2,0.0,0
379,Standard,12.87,6,0.0,0
380,Standard,16.3,2,7.3,0
381,Standard,6.35,3,10.34,1
382,UPS,18.17,5,15.89,1
383,FedEx,8.64,4,0.0,0
384,DHL,24.31,7,0.0,0
385,FedEx,7.56,1,9.87,1
386,Standard,36.58,1,7.96,1
387,FedEx,10.59,2,13.28,0
388,UPS,53.57,2,0.0,0
389,DHL,20.92,2,0.0,0
390,DHL,15.97,3,0.0,0
391,Standard,7.77,3,6.38,1
392,Standard,14.41,3,7.97,0
393,UPS,14.37,1,0.0,0
394,FedEx,15.26,5,11.99,0
395,Standard,7.3,4,0.0,0
396,Standard,14.6,1,0.0,0
397,Standard,8.91,2,0.0,1
398,Standard,22.41,3,15.64,0
399,UPS,21.77,1,0.0,0
400,FedEx,18.82,2,10.09,1
401,FedEx,30.77,5,0.0,0
402,UPS,14.43,3,0.0,0
403,UPS,21.32,3,12.57,1
404,UPS,29.93,1,0.0,0
405,UPS,8.48,3,8.03,1
406,UPS,11.95,3,6.11,0
407,UPS,20.22,7,8.81,1
408,UPS,16.91,5,0.0,0
409,Standard,5.32,1,0.0,0
410,Standard,7.38,3,13.88,0
411,FedEx,21.28,1,0.0,0
412,FedEx,8.03,3,0.0,1
413,FedEx,45.51,3,0.0,0
414,FedEx,11.66,3,0.0,0
415,FedEx,27.09,2,6.96,1
416,UPS,39.88,7,0.0,0
417,DHL,17.22,4,0.0,1
418,DHL,83.92,6,0.0,1
419,Standard,20.17,6,0.0,0
420,UPS,9.15,3,12.49,0
421,Standard,6.54,3,0.0,0
422,Standard,42.37,2,9.73,2
423,Standard,17.32,3,0.0,0
424,FedEx,15.43,4,7.78,0
425,UPS,12.66,3,0.0,1
426,Standard,7.15,1,0.0,0
427,FedEx,8.25,2,0.0,0
428,FedEx,8.08,5,7.32,0
429,Standard,5.8,3,0.0,2
430,FedEx,10.12,3,0.0,0
431,Standard,11.42,4,0.0,0
432,Standard,5.75,2,0.0,3
433,UPS,6.75,3,0.0,1
434,FedEx,35.17,5,0.0,0
435,DHL,31.76,5,0.0,0
436,Standard,5.72,1,0.0,1
437,FedEx,48.48,5,0.0,0
438,Standard,45.33,1,6.89,1
439,UPS,72.32,7,0.0,0
440,FedEx,34.66,4,0.0,0
441,Standard,51.44,2,0.0,2
442,UPS,13.27,2,6.15,2
443,UPS,18.26,3,9.35,1
444,Standard,23.19,2,0.0,0
445,FedEx,11.36,2,0.0,1
446,Standard,8.18,3,0.0,0
447,FedEx,15.89,5,9.13,0
448,FedEx,17.15,1,0.0,0
449,FedEx,41.47,5,0.0,0
450,UPS,12.95,3,0.0,0
451,FedEx,30.33,7,0.0,0
452,FedEx,7.68,2,0.0,0
453,Standard,11.68,2,0.0,0
454,FedEx,7.05,2,7.45,1
455,UPS,24.38,2,8.13,0
456,FedEx,11.21,2,0.0,1
457,UPS,20.61,2,0.0,0
458,UPS,33.86,3,0.0,0
459,DHL,34.11,6,6.32,2
460,FedEx,136.56,7,6.59,1
461,DHL,9.76,2,7.92,1
462,DHL,9.76,3,0.0,1
463,Standard,8.94,2,0.0,0
464,Standard,33.76,6,0.0,1
465,UPS,31.39,6,10.66,2
466,UPS,15.53,5,13.66,1
467,DHL,12.0,3,0.0,0
468,Standard,37.52,2,0.0,0
469,FedEx,23.74,5,9.94,3
470,UPS,16.53,3,0.0,0
471,Standard,13.56,5,11.22,1
472,UPS,15.48,3,0.0,1
473,Standard,22.09,3,12.61,2
474,FedEx,8.04,2,0.0,0
475,Standard,8.35,3,0.0,0
476,Standard,37.14,4,0.0,0
477,UPS,29.62,2,13.68,1
478,Standard,6.5,2,7.19,0
479,UPS,7.57,3,0.0,0
480,UPS,28.03,8,0.0,1
481,Standard,16.69,1,0.0,0
482,UPS,11.48,3,11.31,1
483,Standard,8.45,3,0.0,0
484,Standard,11.16,2,0.0,0
485,Standard,7.04,3,0.0,1
486,Standard,15.85,1,0.0,0
487,FedEx,11.36,3,10.03,0
488,Standard,15.37,1,0.0,0
489,DHL,9.07,3,6.02,1
490,Standard,15.19,7,0.0,0
491,Standard,16.2,2,0.0,0
492,Standard,19.29,7,0.0,0
493,Standard,13.99,5,0.0,0
494,FedEx,92.04,6,12.07,2
495,UPS,57.3,3,0.0,0
496,FedEx,26.17,2,0.0,0
497,UPS,19.29,2,0.0,0
498,Standard,11.7,7,0.0,0
499,DHL,62.31,2,13.54,1
500,UPS,45.77,6,0.0,0
501,Standard,8.73,4,0.0,0
502,UPS,6.58,3,11.06,1
503,FedEx,68.86,5,0.0,0
504,Standard,14.91,2,0.0,0
505,Standard,14.33,8,8.89,1
506,FedEx,51.14,5,7.95,0
507,DHL,21.19,5,0.0,0
508,DHL,30.24,1,0.0,1
509,Standard,25.8,7,0.0,1
510,Standard,12.51,2,11.66,0
511,FedEx,19.89,6,0.0,1
512,UPS,8.27,3,8.05,1
513,FedEx,9.37,1,0.0,0
514,Standard,24.92,2,0.0,1
515,Standard,16.65,4,0.0,0
516,Standard,16.81,6,0.0,0
517,FedEx,6.89,3,0.0,0
518,Standard,9.03,1,0.0,0
519,UPS,7.04,1,13.71,1
520,Standard,10.94,2,0.0,1
521,UPS,13.53,2,6.74,0
522,Standard,6.67,3,0.0,0
523,DHL,8.71,2,10.57,2
524,DHL,28.69,2,0.0,0
525,UPS,42.09,2,0.0,0
526,DHL,7.96,2,8.27,0
527,FedEx,16.04,2,11.67,0
528,FedEx,29.64,6,0.0,2
529,DHL,8.94,2,12.21,1
530,Standard,11.66,2,12.13,0
531,Standard,15.65,5,0.0,0
532,FedEx,9.81,3,0.0,0
533,FedEx,16.55,4,0.0,0
534,UPS,22.89,3,0.0,0
535,Standard,25.48,6,0.0,1
536,UPS,11.2,4,0.0,0
537,FedEx,26.67,2,18.21,0
538,Standard,7.79,4,0.0,0
539,FedEx,36.65,2,0.0,0
540,FedEx,22.61,4,0.0,0
541,Standard,24.54,5,11.81,1
542,DHL,7.8,1,12.04,1
543,Standard,12.97,3,0.0,0
544,FedEx,11.36,3,0.0,1
545,UPS,16.68,1,0.0,0
546,Standard,7.89,2,8.96,3
547,FedEx,24.97,3,21.86,1
548,Standard,24.89,2,8.69,0
549,Standard,5.73,4,0.0,0
550,DHL,24.4,3,8.13,1
551,UPS,11.1,3,0.0,0
552,UPS,8.63,4,7.85,0
553,UPS,8.06,3,0.0,2
554,FedEx,19.11,3,11.84,1
555,Standard,54.4,2,12.13,0
556,FedEx,36.67,1,0.0,0
557,DHL,54.88,7,0.0,0
558,Standard,16.23,1,22.15,0
559,DHL,18.86,3,0.0,0
560,UPS,13.04,2,11.01,1
561,Standard,8.91,4,9.6,1
562,FedEx,10.15,2,8.57,0
563,Standard,8.99,5,7.58,0
564,UPS,9.46,4,0.0,0
565,FedEx,62.54,4,0.0,0
566,FedEx,40.54,4,0.0,1
567,Standard,17.52,1,0.0,0
568,FedEx,26.31,5,0.0,0
569,Standard,6.0,1,0.0,0
570,Standard,46.98,4,0.0,0
571,FedEx,14.9,4,0.0,0
572,UPS,6.98,2,0.0,0
573,Standard,13.37,3,11.1,0
574,Standard,21.69,7,0.0,0
575,UPS,17.68,4,0.0,0
576,UPS,6.93,3,0.0,0
577,Standard,16.81,2,0.0,0
578,DHL,22.39,1,0.0,0
579,Standard,13.18,3,0.0,0
580,Standard,5.32,3,0.0,0
581,FedEx,21.51,1,0.0,1
582,UPS,9.23,2,0.0,0
583,UPS,12.68,3,7.57,1
584,FedEx,17.6,4,0.0,1
585,Standard,8.89,3,0.0,0
586,UPS,50.09,3,0.0,1
587,Standard,17.05,3,0.0,0
588,FedEx,21.85,3,0.0,0
589,UPS,33.6,1,0.0,1
590,Standard,13.49,6,7.47,0
591,Standard,27.16,4,0.0,1
592,Standard,26.73,3,0.0,0
593,Standard,12.77,3,0.0,1
594,FedEx,31.63,2,0.0,0
595,UPS,13.7,4,13.82,0
596,Standard,6.0,1,7.93,1
597,DHL,24.69,3,0.0,0
598,UPS,12.18,4,8.98,1
599,DHL,50.6,3,0.0,0
600,UPS,14.11,1,0.0,0
601,UPS,21.33,3,0.0,0
602,Standard,7.42,4,13.11,2
603,DHL,20.64,6,12.3,1
604,Standard,21.84,4,6.99,1
605,Standard,10.3,5,9.48,1
606,UPS,8.35,3,0.0,0
607,DHL,13.29,3,0.0,0
608,Standard,13.65,1,0.0,0
609,UPS,21.49,3,0.0,0
610,Standard,44.6,3,8.72,0
611,DHL,20.75,2,0.0,0
612,UPS,13.62,2,0.0,0
613,UPS,9.39,4,0.0,0
614,DHL,13.13,1,0.0,0
615,UPS,6.82,2,6.85,1
616,FedEx,77.57,7,0.0,0
617,Standard,19.15,3,6.57,0
618,DHL,136.47,3,0.0,0
619,Standard,8.62,1,0.0,0
620,DHL,25.05,2,0.0,0
621,Standard,15.25,7,0.0,1
622,Standard,8.66,3,10.08,0
623,DHL,12.68,2,6.99,1
624,DHL,10.12,3,0.0,0
625,FedEx,9.24,3,0.0,0
626,UPS,29.9,5,0.0,0
627,UPS,7.56,3,0.0,0
628,Standard,11.11,3,0.0,0
629,FedEx,27.73,1,0.0,0
630,FedEx,10.37,3,9.75,0
631,Standard,21.16,3,0.0,1
632,DHL,64.39,3,0.0,0
633,UPS,14.45,4,10.91,0
634,Standard,26.9,7,0.0,1
635,UPS,73.62,4,9.33,0
636,UPS,18.37,5,10.44,0
637,Standard,20.33,3,13.3,0
638,UPS,7.07,1,0.0,0
639,FedEx,7.39,2,7.76,3
640,Standard,14.02,5,12.0,0
641,UPS,15.11,4,0.0,0
642,UPS,12.65,3,0.0,1
643,UPS,30.33,1,0.0,0
644,Standard,8.38,5,0.0,1
645,Standard,37.09,2,0.0,0
646,UPS,7.87,3,12.04,1
647,DHL,23.2,7,12.62,1
648,UPS,39.36,3,0.0,1
649,UPS,16.3,2,11.16,0
650,FedEx,13.81,3,0.0,1
651,FedEx,8.83,2,7.13,0
652,Standard,19.37,2,0.0,0
653,FedEx,12.68,4,0.0,0
654,DHL,9.41,1,12.82,0
655,UPS,18.04,3,0.0,2
656,Standard,10.22,2,0.0,0
657,UPS,10.81,4,0.0,1
658,UPS,16.31,5,0.0,2
659,DHL,15.26,3,0.0,0
660,Standard,27.1,2,8.05,1
661,Standard,41.88,5,0.0,1
662,FedEx,26.95,4,10.67,1
663,UPS,9.46,2,0.0,0
664,Standard,21.87,2,0.0,0
665,UPS,25.52,3,0.0,0
666,FedEx,43.63,3,21.38,1
667,Standard,10.27,3,0.0,0
668,FedEx,18.98,2,0.0,0
669,DHL,97.34,4,11.37,0
670,UPS,33.86,3,0.0,0
671,Standard,18.37,3,11.32,1
672,Standard,7.77,1,0.0,0
673,FedEx,8.25,3,0.0,0
674,UPS,32.48,7,0.0,1
675,UPS,9.36,2,0.0,0
676,DHL,10.09,2,10.86,0
677,FedEx,12.35,1,0.0,0
678,UPS,23.48,4,6.88,1
679,FedEx,23.54,8,12.22,1
680,FedEx,23.48,1,7.76,0
681,UPS,10.31,2,6.25,1
682,UPS,9.15,3,7.41,1
683,Standard,15.46,5,0.0,0
684,FedEx,6.84,2,13.81,1
685,Standard,9.77,3,0.0,0
686,DHL,23.37,3,0.0,1
687,UPS,18.74,4,0.0,0
688,DHL,36.65,3,11.48,1
689,Standard,35.06,6,6.69,1
690,UPS,6.57,2,0.0,0
691,Standard,8.76,5,8.34,0
692,FedEx,8.28,2,8.1,1
693,Standard,7.66,2,10.29,0
694,Standard,9.72,4,0.0,0
695,UPS,19.95,6,0.0,1
696,FedEx,25.26,6,9.21,3
697,Standard,6.9,2,0.0,0
698,DHL,9.28,3,0.0,0
699,Standard,7.16,3,7.0,2
700,Standard,12.36,2,0.0,0
701,Standard,23.96,6,11.41,1
702,UPS,34.9,1,0.0,1
703,DHL,18.31,2,11.53,1
704,FedEx,24.26,2,0.0,0
705,Standard,6.93,2,0.0,0
706,DHL,38.69,8,0.0,0
707,Standard,16.44,1,0.0,0
708,FedEx,11.66,2,0.0,0
709,Standard,8.45,1,12.41,0
710,FedEx,23.74,4,0.0,0
711,UPS,8.86,2,8.94,0
712,FedEx,36.85,2,0.0,0
713,Standard,21.7,1,7.62,2
714,Standard,9.65,4,0.0,1
715,DHL,17.07,3,6.29,0
716,UPS,21.82,3,12.74,0
717,UPS,8.46,4,0.0,0
718,Standard,12.94,1,0.0,0
719,FedEx,21.76,3,0.0,0
720,Standard,18.74,4,0.0,0
721,UPS,13.7,4,11.55,1
722,Standard,42.0,1,9.03,0
723,UPS,36.28,2,0.0,1
724,Standard,18.44,2,0.0,1
725,FedEx,16.11,1,0.0,1
726,FedEx,8.96,3,0.0,0
727,Standard,5.8,3,13.33,0
728,DHL,8.84,2,0.0,0
729,Standard,43.64,6,0.0,1
730,Standard,7.53,3,13.37,1
731,Standard,24.81,4,0.0,1
732,FedEx,20.05,3,0.0,0
733,FedEx,8.22,1,0.0,0
734,UPS,8.34,3,0.0,0
735,Standard,30.28,1,8.71,1
736,UPS,57.27,4,13.34,0
737,UPS,8.35,2,0.0,0
738,Standard,6.37,3,0.0,0
739,Standard,11.77,2,0.0,0
740,FedEx,59.77,2,0.0,0
741,UPS,15.55,2,0.0,0
742,FedEx,11.9,3,0.0,0
743,UPS,24.21,3,0.0,0
744,DHL,8.81,3,0.0,0
745,Standard,20.19,2,0.0,1
746,UPS,10.64,2,11.36,1
747,FedEx,11.4,3,0.0,0
748,FedEx,7.92,4,12.72,1
749,Standard,11.81,3,0.0,0
750,FedEx,19.85,2,0.0,1
751,Standard,26.55,3,0.0,2
752,DHL,9.11,3,0.0,0
753,Standard,38.27,1,0.0,1
754,Standard,6.18,2,0.0,0
755,UPS,22.47,3,0.0,0
756,UPS,7.06,2,0.0,0
757,DHL,14.9,2,0.0,0
758,Standard,9.04,2,8.05,0
759,FedEx,8.25,2,7.32,0
760,FedEx,20.4,1,0.0,0
761,Standard,5.28,1,0.0,0
762,Standard,19.45,6,0.0,0
