order_id,customer_id,order_date,acquisition_channel,promo_code,discount_pct,discount_band,shipping_fee_charged
122,1051,2024-01-28,Email,SAVE15,0.1268,Mid,0.0
123,562,2024-01-14,Organic,SAVE15,0.1764,Mid,7.99
124,3687,2024-01-27,Paid Social,,0.0,No Discount,7.99
125,1274,2024-01-10,Paid Social,FLASH30,0.225,High,0.0
126,538,2024-01-07,Organic,,0.0,No Discount,10.99
127,3274,2024-01-22,Email,FLASH30,0.2413,High,0.0
128,803,2024-01-24,Referral,,0.0,No Discount,7.99
129,355,2024-01-27,Paid Social,SAVE15,0.1594,Mid,0.0
130,2644,2024-01-19,Referral,SAVE15,0.1275,Mid,10.99
131,32,2024-01-26,Referral,WELCOME10,0.0884,Low,0.0
132,3339,2024-01-20,Organic,,0.0,No Discount,8.99
133,2351,2024-01-26,Organic,SAVE15,0.1382,Mid,7.99
134,948,2024-01-22,Referral,,0.0,No Discount,0.0
135,2107,2024-01-12,Email,FLASH30,0.3179,High,0.0
136,1022,2024-01-07,Email,WELCOME10,0.0872,Low,0.0
137,2273,2024-01-23,Email,,0.0,No Discount,0.0
138,2371,2024-01-04,Paid Social,WELCOME10,0.0893,Low,7.99
139,3045,2024-01-02,Email,,0.0,No Discount,8.99
140,2095,2024-01-26,Referral,,0.0,No Discount,0.0
141,3182,2024-01-26,Organic,WELCOME10,0.0845,Low,7.99
142,287,2024-01-18,Organic,,0.0,No Discount,7.99
143,3664,2024-01-25,Email,FLASH30,0.3348,High,0.0
144,715,2024-01-02,Email,,0.0,No Discount,7.99
145,3382,2024-01-09,Referral,SAVE15,0.1225,Mid,7.99
146,2133,2024-01-08,Referral,,0.0,No Discount,8.99
147,413,2024-01-14,Organic,SAVE15,0.18,Mid,0.0
148,1556,2024-01-08,Email,,0.0,No Discount,7.99
149,3660,2024-01-16,Organic,SAVE15,0.1273,Mid,10.99
150,3366,2024-01-19,Paid Social,FLASH30,0.2214,High,0.0
151,2853,2024-01-21,Email,FLASH30,0.3521,High,0.0
152,1595,2024-01-03,Email,WELCOME10,0.0951,Low,0.0
153,2404,2024-01-22,Referral,WELCOME10,0.0924,Low,8.99
154,848,2024-01-22,Email,WELCOME10,0.0535,Low,8.99
155,2590,2024-01-17,Paid Social,FLASH30,0.276,High,0.0
156,1012,2024-01-22,Paid Social,FLASH30,0.3403,High,0.0
157,3339,2024-01-03,Organic,SAVE15,0.1536,Mid,8.99
158,2793,2024-01-25,Email,SAVE15,0.1502,Mid,8.99
159,1626,2024-01-24,Email,,0.0,No Discount,0.0
160,2640,2024-01-16,Organic,WELCOME10,0.0897,Low,7.99
161,1355,2024-01-13,Referral,WELCOME10,0.0884,Low,0.0
162,596,2024-01-06,Organic,WELCOME10,0.0851,Low,9.99
163,852,2024-01-13,Organic,SAVE15,0.1213,Mid,0.0
164,1051,2024-01-17,Email,,0.0,No Discount,7.99
165,836,2024-01-11,Paid Social,FLASH30,0.3475,High,0.0
166,2725,2024-01-26,Organic,,0.0,No Discount,10.99
167,2922,2024-01-01,Organic,WELCOME10,0.0762,Low,8.99
168,2062,2024-01-19,Organic,WELCOME10,0.0675,Low,8.99
169,3984,2024-01-20,Organic,SAVE15,0.1308,Mid,7.99
170,3607,2024-01-21,Organic,,0.0,No Discount,8.99
171,321,2024-01-06,Referral,FLASH30,0.3878,High,0.0
172,2070,2024-01-23,Paid Social,WELCOME10,0.088,Low,7.99
173,3643,2024-01-21,Email,,0.0,No Discount,7.99
174,829,2024-01-15,Referral,,0.0,No Discount,7.99
175,1595,2024-01-11,Email,,0.0,No Discount,8.99
176,3810,2024-01-19,Email,WELCOME10,0.0715,Low,9.99
177,3071,2024-01-14,Organic,WELCOME10,0.0944,Low,10.99
178,3339,2024-01-26,Organic,WELCOME10,0.0977,Low,0.0
179,3594,2024-01-08,Organic,FLASH30,0.296,High,0.0
180,627,2024-01-08,Email,,0.0,No Discount,7.99
181,2768,2024-01-18,Email,WELCOME10,0.0894,Low,8.99
182,3238,2024-01-03,Organic,WELCOME10,0.0522,Low,9.99
183,836,2024-01-06,Paid Social,SAVE15,0.1513,Mid,0.0
184,167,2024-01-23,Email,SAVE15,0.1922,Mid,8.99
185,645,2024-01-05,Paid Social,FLASH30,0.3944,High,0.0
186,2922,2024-01-26,Organic,,0.0,No Discount,8.99
187,2746,2024-01-16,Email,WELCOME10,0.0776,Low,0.0
188,3612,2024-01-03,Paid Social,SAVE15,0.1456,Mid,8.99
189,1297,2024-01-23,Organic,,0.0,No Discount,0.0
190,2507,2024-01-04,Referral,FLASH30,0.3592,High,0.0
191,123,2024-01-06,Organic,WELCOME10,0.0825,Low,8.99
192,3711,2024-01-15,Referral,,0.0,No Discount,8.99
193,2322,2024-01-02,Organic,SAVE15,0.1236,Mid,8.99
194,2953,2024-01-08,Organic,WELCOME10,0.0871,Low,7.99
195,1085,2024-01-04,Referral,,0.0,No Discount,7.99
196,321,2024-01-12,Referral,,0.0,No Discount,0.0
197,261,2024-01-26,Organic,,0.0,No Discount,0.0
198,3274,2024-01-19,Email,WELCOME10,0.0726,Low,7.99
199,562,2024-01-04,Organic,WELCOME10,0.0854,Low,7.99
200,3305,2024-01-08,Email,,0.0,No Discount,9.99
201,1022,2024-01-20,Email,,0.0,No Discount,0.0
202,2292,2024-01-18,Email,SAVE15,0.1268,Mid,9.99
203,1022,2024-01-25,Email,,0.0,No Discount,10.99
204,215,2024-01-17,Email,WELCOME10,0.0939,Low,7.99
205,2292,2024-01-19,Email,,0.0,No Discount,9.99
206,1579,2024-01-09,Referral,WELCOME10,0.0843,Low,0.0
207,1820,2024-01-11,Paid Social,FLASH30,0.3839,High,0.0
208,2457,2024-01-03,Paid Social,FLASH30,0.3773,High,0.0
209,1279,2024-01-05,Referral,WELCOME10,0.0629,Low,7.99
210,2351,2024-01-25,Organic,,0.0,No Discount,7.99
211,2640,2024-01-16,Organic,WELCOME10,0.0554,Low,7.99
212,322,2024-01-06,Paid Social,SAVE15,0.1965,Mid,8.99
213,1548,2024-01-26,Email,WELCOME10,0.094,Low,8.99
214,322,2024-01-23,Paid Social,FLASH30,0.3104,High,0.0
215,32,2024-01-18,Referral,,0.0,No Discount,7.99
216,219,2024-01-26,Referral,SAVE15,0.1634,Mid,7.99
217,2417,2024-01-09,Organic,WELCOME10,0.0506,Low,8.99
218,321,2024-01-25,Referral,,0.0,No Discount,7.99
219,3479,2024-01-15,Referral,,0.0,No Discount,9.99
220,3009,2024-01-06,Organic,,0.0,No Discount,7.99
221,32,2024-01-02,Referral,,0.0,No Discount,7.99
222,2371,2024-01-18,Paid Social,SAVE15,0.1791,Mid,7.99
223,32,2024-01-20,Referral,SAVE15,0.1962,Mid,7.99
224,413,2024-01-09,Organic,WELCOME10,0.0682,Low,8.99
225,3984,2024-01-04,Organic,,0.0,No Discount,7.99
226,2062,2024-01-14,Organic,,0.0,No Discount,0.0
227,123,2024-01-05,Organic,,0.0,No Discount,8.99
228,3411,2024-01-13,Email,WELCOME10,0.0569,Low,7.99
229,3660,2024-01-11,Organic,WELCOME10,0.0646,Low,10.99
230,2320,2024-01-01,Referral,WELCOME10,0.0687,Low,0.0
231,2793,2024-01-27,Email,,0.0,No Discount,8.99
232,3155,2024-01-09,Organic,FLASH30,0.2496,High,0.0
233,2919,2024-01-15,Organic,SAVE15,0.1925,Mid,9.99
234,2133,2024-01-08,Referral,WELCOME10,0.0526,Low,8.99
235,3366,2024-01-28,Paid Social,WELCOME10,0.0722,Low,10.99
236,2226,2024-01-17,Organic,,0.0,No Discount,9.99
237,1012,2024-01-09,Paid Social,WELCOME10,0.0952,Low,8.99
238,24,2024-01-01,Referral,WELCOME10,0.068,Low,7.99
239,1556,2024-01-21,Email,,0.0,No Discount,0.0
240,321,2024-01-10,Referral,,0.0,No Discount,7.99
241,261,2024-01-23,Organic,SAVE15,0.1861,Mid,7.99
242,2107,2024-01-07,Email,,0.0,No Discount,7.99
243,3771,2024-01-05,Referral,,0.0,No Discount,7.99
244,413,2024-01-24,Organic,,0.0,No Discount,8.99
245,1056,2024-01-20,Email,,0.0,No Discount,10.99
246,3339,2024-01-02,Organic,WELCOME10,0.0624,Low,8.99
247,1683,2024-01-11,Email,,0.0,No Discount,0.0
248,2979,2024-01-09,Email,,0.0,No Discount,8.99
249,2292,2024-01-14,Email,SAVE15,0.1877,Mid,9.99
250,2495,2024-01-02,Referral,SAVE15,0.16,Mid,10.99
251,615,2024-01-11,Organic,WELCOME10,0.0536,Low,0.0
252,1548,2024-01-08,Email,SAVE15,0.1295,Mid,8.99
253,2507,2024-01-19,Referral,SAVE15,0.1385,Mid,0.0
254,123,2024-01-07,Organic,WELCOME10,0.0603,Low,8.99
255,725,2024-01-10,Organic,FLASH30,0.3559,High,0.0
256,1626,2024-01-19,Email,,0.0,No Discount,8.99
257,2724,2024-01-12,Paid Social,FLASH30,0.3049,High,0.0
258,2153,2024-01-23,Email,SAVE15,0.1359,Mid,7.99
259,2811,2024-01-17,Organic,SAVE15,0.1195,Mid,7.99
260,2887,2024-01-12,Organic,,0.0,No Discount,0.0
261,137,2024-01-28,Referral,,0.0,No Discount,8.99
262,3639,2024-01-13,Email,SAVE15,0.174,Mid,10.99
263,3305,2024-01-02,Email,,0.0,No Discount,0.0
264,1051,2024-01-08,Email,WELCOME10,0.0906,Low,0.0
265,2132,2024-01-02,Email,,0.0,No Discount,7.99
266,1274,2024-01-01,Paid Social,SAVE15,0.1111,Mid,0.0
267,3643,2024-01-06,Email,FLASH30,0.255,High,0.0
268,1596,2024-01-20,Email,,0.0,No Discount,8.99
269,1666,2024-01-23,Referral,WELCOME10,0.0785,Low,9.99
270,3647,2024-01-22,Paid Social,,0.0,No Discount,0.0
271,2451,2024-01-15,Email,WELCOME10,0.0557,Low,8.99
272,516,2024-01-11,Organic,WELCOME10,0.0966,Low,8.99
273,2512,2024-01-22,Paid Social,FLASH30,0.2849,High,0.0
274,3204,2024-01-15,Email,WELCOME10,0.0976,Low,7.99
275,1433,2024-01-02,Organic,,0.0,No Discount,8.99
276,2226,2024-01-20,Organic,,0.0,No Discount,9.99
277,2518,2024-01-26,Organic,WELCOME10,0.0583,Low,8.99
278,2153,2024-01-19,Email,,0.0,No Discount,7.99
279,3997,2024-01-09,Organic,WELCOME10,0.0559,Low,7.99
280,2150,2024-01-04,Organic,SAVE15,0.1453,Mid,8.99
281,2564,2024-01-21,Paid Social,FLASH30,0.2836,High,0.0
282,3204,2024-01-14,Email,FLASH30,0.2672,High,0.0
283,516,2024-01-15,Organic,WELCOME10,0.0921,Low,0.0
284,167,2024-01-24,Email,WELCOME10,0.0557,Low,8.99
285,3889,2024-01-20,Referral,WELCOME10,0.0828,Low,9.99
286,2893,2024-01-07,Paid Social,FLASH30,0.2435,High,0.0
287,1666,2024-01-27,Referral,WELCOME10,0.0799,Low,0.0
288,48,2024-01-22,Organic,WELCOME10,0.0909,Low,10.99
289,627,2024-01-01,Email,SAVE15,0.1079,Mid,7.99
290,32,2024-01-27,Referral,,0.0,No Discount,7.99
291,1666,2024-01-19,Referral,FLASH30,0.255,High,0.0
292,2322,2024-01-05,Organic,,0.0,No Discount,8.99
293,596,2024-01-28,Organic,,0.0,No Discount,9.99
294,2563,2024-01-06,Email,FLASH30,0.2681,High,0.0
295,3839,2024-01-21,Email,,0.0,No Discount,8.99
296,3984,2024-01-12,Organic,,0.0,No Discount,7.99
297,3366,2024-01-13,Paid Social,FLASH30,0.3429,High,0.0
298,1950,2024-01-14,Referral,WELCOME10,0.0652,Low,8.99
299,2320,2024-01-21,Referral,,0.0,No Discount,0.0
300,2150,2024-01-15,Organic,,0.0,No Discount,0.0
301,596,2024-01-08,Organic,WELCOME10,0.0895,Low,0.0
302,3443,2024-01-07,Organic,SAVE15,0.1016,Mid,7.99
303,2725,2024-01-09,Organic,WELCOME10,0.0825,Low,10.99
304,2563,2024-01-15,Email,WELCOME10,0.0685,Low,9.99
305,829,2024-01-23,Referral,WELCOME10,0.0918,Low,0.0
306,562,2024-01-25,Organic,WELCOME10,0.0725,Low,7.99
307,3519,2024-01-13,Paid Social,FLASH30,0.3343,High,0.0
308,645,2024-01-26,Paid Social,FLASH30,0.2395,High,0.0
309,302,2024-01-14,Organic,,0.0,No Discount,7.99
310,2512,2024-01-24,Paid Social,,0.0,No Discount,0.0
311,2793,2024-01-24,Email,,0.0,No Discount,8.99
312,454,2024-01-13,Organic,,0.0,No Discount,10.99
313,788,2024-01-02,Paid Social,WELCOME10,0.093,Low,8.99
314,3182,2024-01-08,Organic,FLASH30,0.293,High,0.0
315,3687,2024-01-24,Paid Social,SAVE15,0.104,Mid,0.0
316,2114,2024-01-07,Paid Social,WELCOME10,0.078,Low,9.99
317,3204,2024-01-26,Email,,0.0,No Discount,7.99
318,1297,2024-01-21,Organic,,0.0,No Discount,0.0
319,2793,2024-01-17,Email,,0.0,No Discount,8.99
320,2322,2024-01-09,Organic,SAVE15,0.1785,Mid,0.0
321,3401,2024-01-16,Organic,,0.0,No Discount,9.99
322,3071,2024-01-03,Organic,,0.0,No Discount,10.99
323,1085,2024-01-14,Referral,SAVE15,0.1448,Mid,0.0
324,539,2024-01-03,Organic,WELCOME10,0.0857,Low,7.99
325,3273,2024-01-03,Email,SAVE15,0.1515,Mid,10.99
326,137,2024-01-28,Referral,SAVE15,0.1368,Mid,8.99
327,2725,2024-01-04,Organic,WELCOME10,0.076,Low,10.99
328,2114,2024-01-15,Paid Social,WELCOME10,0.0821,Low,9.99
329,302,2024-01-13,Organic,WELCOME10,0.0595,Low,0.0
330,2742,2024-01-25,Referral,,0.0,No Discount,0.0
331,2132,2024-01-02,Email,,0.0,No Discount,7.99
332,3458,2024-01-09,Referral,,0.0,No Discount,7.99
333,788,2024-01-17,Paid Social,FLASH30,0.368,High,0.0
334,24,2024-01-22,Referral,,0.0,No Discount,7.99
335,510,2024-01-19,Organic,WELCOME10,0.079,Low,9.99
336,1051,2024-01-10,Email,WELCOME10,0.0748,Low,0.0
337,2626,2024-01-14,Paid Social,,0.0,No Discount,8.99
338,1556,2024-01-05,Email,FLASH30,0.3558,High,0.0
339,424,2024-01-14,Organic,WELCOME10,0.0825,Low,10.99
340,3946,2024-01-09,Referral,FLASH30,0.3087,High,0.0
341,413,2024-01-16,Organic,,0.0,No Discount,8.99
342,1548,2024-01-07,Email,WELCOME10,0.0932,Low,8.99
343,3533,2024-01-26,Paid Social,FLASH30,0.3795,High,0.0
344,2631,2024-01-28,Organic,SAVE15,0.1939,Mid,7.99
345,1297,2024-01-21,Organic,WELCOME10,0.0888,Low,7.99
346,3865,2024-01-21,Referral,SAVE15,0.1428,Mid,7.99
347,2141,2024-01-22,Referral,WELCOME10,0.0727,Low,7.99
348,32,2024-01-25,Referral,SAVE15,0.147,Mid,7.99
349,24,2024-01-20,Referral,SAVE15,0.1311,Mid,7.99
350,3771,2024-01-20,Referral,SAVE15,0.1937,Mid,7.99
351,1067,2024-01-24,Paid Social,WELCOME10,0.0866,Low,0.0
352,3274,2024-01-26,Email,,0.0,No Discount,7.99
353,167,2024-01-07,Email,,0.0,No Discount,8.99
354,539,2024-01-15,Organic,WELCOME10,0.0819,Low,7.99
355,3443,2024-01-25,Organic,WELCOME10,0.0813,Low,7.99
356,3985,2024-01-11,Paid Social,FLASH30,0.3988,High,0.0
357,219,2024-01-13,Referral,,0.0,No Discount,7.99
358,627,2024-01-10,Email,FLASH30,0.2296,High,0.0
359,2853,2024-01-24,Email,WELCOME10,0.0905,Low,0.0
360,2226,2024-01-06,Organic,,0.0,No Discount,0.0
361,1698,2024-01-07,Email,SAVE15,0.1476,Mid,8.99
362,748,2024-01-28,Paid Social,FLASH30,0.263,High,0.0
363,3810,2024-01-06,Email,WELCOME10,0.0602,Low,9.99
364,627,2024-01-01,Email,WELCOME10,0.0644,Low,7.99
365,1022,2024-01-25,Email,WELCOME10,0.059,Low,10.99
366,1355,2024-01-15,Referral,WELCOME10,0.0927,Low,8.99
367,516,2024-01-12,Organic,,0.0,No Discount,8.99
368,2284,2024-01-15,Email,,0.0,No Discount,10.99
369,1433,2024-01-23,Organic,,0.0,No Discount,8.99
370,2495,2024-01-07,Referral,WELCOME10,0.0828,Low,10.99
371,1579,2024-01-11,Referral,FLASH30,0.3046,High,0.0
372,424,2024-01-22,Organic,WELCOME10,0.0937,Low,10.99
373,3479,2024-01-11,Referral,,0.0,No Discount,9.99
374,2153,2024-01-07,Email,SAVE15,0.1277,Mid,0.0
375,1311,2024-01-21,Paid Social,WELCOME10,0.0897,Low,7.99
376,48,2024-01-02,Organic,SAVE15,0.1852,Mid,10.99
377,2451,2024-01-20,Email,WELCOME10,0.0905,Low,8.99
378,3155,2024-01-21,Organic,WELCOME10,0.0516,Low,7.99
379,2613,2024-01-06,Paid Social,SAVE15,0.1617,Mid,9.99
380,3182,2024-01-26,Organic,SAVE15,0.1491,Mid,7.99
381,562,2024-01-24,Organic,FLASH30,0.2506,High,0.0
382,3889,2024-01-12,Referral,SAVE15,0.1195,Mid,9.99
383,793,2024-01-15,Paid Social,FLASH30,0.3591,High,0.0
384,1022,2024-01-13,Email,SAVE15,0.1039,Mid,10.99
385,2153,2024-01-25,Email,SAVE15,0.1683,Mid,7.99
386,24,2024-01-07,Referral,SAVE15,0.1312,Mid,7.99
387,1950,2024-01-17,Referral,SAVE15,0.1012,Mid,8.99
388,763,2024-01-12,Organic,SAVE15,0.1587,Mid,0.0
389,2953,2024-01-11,Organic,SAVE15,0.1502,Mid,7.99
390,2979,2024-01-22,Email,,0.0,No Discount,8.99
391,2504,2024-01-11,Email,SAVE15,0.1342,Mid,8.99
392,1773,2024-01-09,Paid Social,FLASH30,0.3906,High,0.0
393,1279,2024-01-17,Referral,,0.0,No Discount,7.99
394,3305,2024-01-13,Email,WELCOME10,0.0891,Low,9.99
395,2150,2024-01-10,Organic,FLASH30,0.2685,High,0.0
396,2141,2024-01-20,Referral,,0.0,No Discount,7.99
397,415,2024-01-08,Organic,,0.0,No Discount,0.0
398,829,2024-01-19,Referral,FLASH30,0.2766,High,0.0
399,1556,2024-01-04,Email,,0.0,No Discount,0.0
400,2768,2024-01-07,Email,,0.0,No Discount,8.99
401,3401,2024-01-19,Organic,SAVE15,0.1436,Mid,9.99
402,3985,2024-01-10,Paid Social,FLASH30,0.3853,High,0.0
403,1803,2024-01-01,Organic,,0.0,No Discount,0.0
404,2003,2024-01-14,Referral,,0.0,No Discount,7.99
405,3037,2024-01-23,Paid Social,WELCOME10,0.0946,Low,8.99
406,1311,2024-01-17,Paid Social,FLASH30,0.3497,High,0.0
407,2284,2024-01-25,Email,WELCOME10,0.0836,Low,10.99
408,2725,2024-01-14,Organic,FLASH30,0.3612,High,0.0
409,852,2024-01-15,Organic,SAVE15,0.1996,Mid,0.0
410,1067,2024-01-18,Paid Social,FLASH30,0.2577,High,0.0
411,1552,2024-01-07,Paid Social,WELCOME10,0.0616,Low,7.99
412,2387,2024-01-20,Referral,,0.0,No Discount,0.0
413,1051,2024-01-24,Email,,0.0,No Discount,7.99
414,788,2024-01-13,Paid Social,FLASH30,0.3286,High,0.0
415,539,2024-01-20,Organic,FLASH30,0.3784,High,0.0
416,3273,2024-01-12,Email,SAVE15,0.123,Mid,0.0
417,3607,2024-01-23,Organic,,0.0,No Discount,0.0
418,3639,2024-01-05,Email,SAVE15,0.1185,Mid,0.0
419,3285,2024-01-17,Organic,FLASH30,0.2599,High,0.0
420,516,2024-01-25,Organic,,0.0,No Discount,8.99
421,367,2024-01-17,Email,WELCOME10,0.0721,Low,7.99
422,2141,2024-01-28,Referral,SAVE15,0.1113,Mid,7.99
423,2207,2024-01-24,Email,SAVE15,0.1154,Mid,8.99
424,2893,2024-01-25,Paid Social,WELCOME10,0.0672,Low,9.99
425,829,2024-01-15,Referral,,0.0,No Discount,7.99
426,3687,2024-01-28,Paid Social,FLASH30,0.3967,High,0.0
427,1279,2024-01-26,Referral,SAVE15,0.1414,Mid,7.99
