customer_id,segment,acquisition_channel,acquisition_cost,state_region,signup_date,satisfaction_score
71,Retail,Organic,14.96,Suburban,2025-03-10,9.4
72,Retail,Paid Social,50.82,Suburban,2025-04-02,6.9
73,Retail,Referral,30.71,Metro,2024-09-05,8.2
74,Retail,Organic,8.76,Suburban,2024-10-09,8.4
75,Retail,Organic,7.52,Remote,2024-06-10,6.8
76,Retail,Organic,15.41,Suburban,2024-10-08,10.0
77,Retail,Organic,6.19,Metro,2025-01-02,6.3
78,Retail,Email,27.93,Metro,2025-02-05,7.3
79,Retail,Paid Social,68.87,Remote,2025-06-25,5.8
80,Retail,Email,17.86,Remote,2024-11-21,6.8
81,Retail,Email,28.98,Metro,2024-07-13,6.7
82,Retail,Paid Social,67.22,Suburban,2024-02-01,5.2
83,Corporate,Email,17.23,Metro,2025-01-11,8.6
84,Retail,Organic,13.52,Suburban,2025-03-26,6.2
85,Retail,Organic,13.0,Metro,2024-10-23,8.8
86,Wholesale,Organic,12.81,Rural,2025-05-22,8.4
87,Retail,Email,0.0,Remote,2024-06-07,6.7
88,Retail,Paid Social,69.92,Metro,2024-01-12,6.7
89,Retail,Organic,8.85,Suburban,2024-12-01,7.4
90,Retail,Paid Social,61.37,Metro,2024-03-25,4.8
91,Retail,Organic,10.44,Metro,2024-02-04,6.3
92,Corporate,Email,20.08,Metro,2025-01-18,8.0
93,Corporate,Paid Social,74.2,Metro,2024-08-08,6.8
94,Retail,Paid Social,57.18,Remote,2024-11-16,6.4
95,Retail,Paid Social,88.97,Metro,2025-02-24,5.6
96,Retail,Paid Social,76.02,Rural,2024-07-09,5.9
97,Retail,Paid Social,71.77,Metro,2024-11-01,5.7
98,Retail,Organic,9.97,Suburban,2024-10-19,5.5
99,Corporate,Organic,12.63,Suburban,2024-11-15,7.7
100,Wholesale,Referral,34.22,Remote,2025-01-04,8.4
101,Retail,Referral,22.87,Metro,2024-07-02,7.9
102,Retail,Email,25.92,Metro,2024-10-15,9.3
103,Retail,Organic,8.7,Rural,2024-11-18,6.4
104,Retail,Referral,43.17,Rural,2024-03-04,7.0
105,Wholesale,Email,26.78,Suburban,2024-04-17,7.4
106,Retail,Email,13.0,Metro,2024-02-13,7.5
107,Corporate,Paid Social,103.95,Metro,2024-04-04,3.8
108,Corporate,Organic,0.0,Rural,2024-08-18,8.3
109,Wholesale,Organic,10.55,Suburban,2025-05-19,7.9
110,Retail,Referral,17.04,Suburban,2025-05-05,5.3
111,Retail,Paid Social,95.88,Metro,2025-02-19,6.0
112,Corporate,Organic,9.01,Metro,2024-11-07,6.6
113,Corporate,Paid Social,47.71,Remote,2024-04-17,5.6
114,Retail,Paid Social,57.2,Rural,2024-07-23,4.5
115,Corporate,Organic,5.14,Metro,2025-02-27,8.1
116,Retail,Referral,20.94,Remote,2025-05-08,9.9
117,Retail,Email,15.37,Suburban,2025-06-10,7.5
118,Corporate,Email,11.99,Metro,2024-07-03,4.6
119,Retail,Paid Social,66.86,Metro,2024-09-28,6.4
120,Retail,Paid Social,69.04,Rural,2024-10-10,5.9
121,Wholesale,Paid Social,44.07,Metro,2024-02-23,4.8
122,Corporate,Email,4.73,Suburban,2024-03-27,7.6
123,Corporate,Organic,9.24,Suburban,2024-01-14,8.7
124,Retail,Paid Social,71.57,Metro,2025-02-20,5.3
125,Wholesale,Organic,10.92,Remote,2024-05-14,5.6
126,Retail,Paid Social,71.92,Metro,2025-01-17,3.7
127,Retail,Paid Social,90.31,Metro,2024-07-07,5.3
128,Retail,Organic,11.99,Suburban,2025-03-24,7.4
129,Corporate,Organic,18.72,Suburban,2024-03-04,7.0
130,Wholesale,Paid Social,117.81,Suburban,2024-06-19,5.3
131,Corporate,Organic,0.97,Suburban,2024-04-26,8.3
132,Retail,Referral,2.03,Remote,2024-08-23,8.4
133,Retail,Paid Social,61.87,Rural,2024-11-22,6.3
134,Retail,Paid Social,71.08,Rural,2024-04-19,7.1
135,Retail,Paid Social,60.63,Metro,2025-01-27,5.3
136,Retail,Organic,10.81,Metro,2025-06-25,6.3
137,Retail,Referral,21.3,Suburban,2024-01-08,7.2
138,Corporate,Paid Social,49.51,Metro,2024-02-18,5.4
139,Corporate,Email,13.66,Rural,2025-06-13,4.7
140,Corporate,Organic,7.2,Metro,2024-12-08,6.9
141,Retail,Paid Social,77.18,Metro,2025-05-23,7.4
142,Retail,Paid Social,53.24,Metro,2025-01-02,7.1
143,Retail,Referral,21.11,Metro,2025-01-04,8.4
144,Retail,Paid Social,72.26,Metro,2024-03-03,6.3
145,Retail,Paid Social,58.42,Suburban,2024-10-06,7.8
146,Retail,Organic,12.47,Suburban,2024-07-15,6.3
147,Retail,Paid Social,45.45,Metro,2025-04-27,4.9
148,Corporate,Paid Social,41.55,Metro,2024-01-28,7.4
149,Retail,Paid Social,67.48,Rural,2024-01-26,6.1
150,Retail,Organic,9.62,Metro,2024-11-22,6.8
151,Retail,Email,11.08,Suburban,2025-06-13,7.9
152,Retail,Referral,37.44,Suburban,2025-06-22,7.3
153,Retail,Organic,15.7,Suburban,2024-11-08,6.6
154,Retail,Paid Social,50.7,Rural,2024-08-19,5.1
155,Retail,Organic,13.95,Suburban,2024-05-01,8.0
156,Retail,Email,0.0,Remote,2025-06-26,7.4
157,Wholesale,Organic,12.3,Rural,2024-04-28,9.4
158,Retail,Email,11.14,Metro,2024-03-21,6.9
159,Retail,Email,25.81,Metro,2024-10-05,6.8
160,Retail,Email,10.31,Metro,2024-08-08,8.9
161,Retail,Organic,7.73,Metro,2024-09-21,8.8
162,Retail,Referral,15.9,Suburban,2025-05-14,8.0
163,Corporate,Organic,7.14,Metro,2024-05-16,5.7
164,Retail,Organic,15.32,Metro,2025-04-12,6.6
165,Retail,Paid Social,60.06,Metro,2024-04-24,4.8
166,Retail,Paid Social,99.99,Suburban,2024-06-05,6.1
167,Retail,Email,14.91,Suburban,2024-01-13,6.6
168,Retail,Email,29.93,Remote,2025-01-07,9.1
169,Retail,Paid Social,32.74,Metro,2025-04-20,4.2
170,Retail,Referral,21.13,Metro,2025-04-08,6.4
171,Wholesale,Organic,5.86,Remote,2024-04-09,7.9
172,Corporate,Paid Social,89.68,Suburban,2025-02-05,6.7
173,Wholesale,Organic,8.74,Suburban,2024-03-25,4.5
174,Retail,Referral,3.12,Suburban,2024-12-07,5.7
175,Corporate,Organic,2.76,Metro,2025-01-25,7.3
176,Retail,Organic,3.95,Rural,2024-03-26,9.2
177,Retail,Paid Social,78.81,Suburban,2024-02-27,8.4
178,Wholesale,Referral,32.05,Suburban,2024-02-10,7.3
179,Retail,Referral,21.0,Suburban,2025-01-19,7.6
180,Corporate,Email,13.61,Metro,2024-12-24,6.2
181,Corporate,Referral,31.16,Metro,2024-03-03,8.6
182,Retail,Referral,12.7,Rural,2024-10-02,9.6
183,Corporate,Paid Social,70.24,Suburban,2025-03-06,7.6
184,Retail,Paid Social,68.71,Metro,2024-05-28,6.1
185,Wholesale,Email,15.8,Metro,2024-11-03,6.2
186,Corporate,Email,21.18,Remote,2024-06-22,7.2
187,Retail,Paid Social,63.84,Metro,2024-05-24,7.8
188,Retail,Organic,9.99,Metro,2024-08-26,7.1
189,Retail,Email,7.33,Suburban,2024-07-15,5.0
190,Retail,Organic,10.46,Rural,2024-09-15,7.2
191,Retail,Referral,34.27,Suburban,2024-04-21,7.5
192,Corporate,Organic,9.28,Rural,2024-08-18,5.4
193,Retail,Organic,10.4,Metro,2024-12-23,7.9
194,Corporate,Email,17.12,Remote,2024-07-11,7.8
195,Retail,Organic,11.57,Remote,2024-12-27,9.8
196,Retail,Organic,8.26,Suburban,2024-03-13,6.0
197,Retail,Paid Social,41.34,Suburban,2024-03-07,7.0
198,Corporate,Referral,32.2,Metro,2025-04-22,9.0
199,Retail,Organic,1.46,Suburban,2024-09-18,8.2
200,Retail,Paid Social,67.09,Metro,2024-11-02,4.9
201,Retail,Email,14.93,Metro,2025-02-05,5.9
202,Corporate,Referral,19.52,Remote,2024-03-02,7.9
203,Retail,Paid Social,65.1,Metro,2025-06-17,6.2
204,Retail,Organic,5.16,Suburban,2024-08-25,6.9
205,Corporate,Organic,10.05,Metro,2025-05-10,9.1
206,Corporate,Organic,8.23,Metro,2024-08-04,7.1
207,Retail,Organic,5.53,Metro,2024-08-24,5.3
208,Retail,Email,28.71,Metro,2024-11-21,6.9
209,Retail,Organic,8.82,Suburban,2024-04-16,8.2
210,Retail,Paid Social,73.35,Remote,2024-11-06,6.5
211,Corporate,Email,29.33,Suburban,2025-06-19,7.6
212,Retail,Paid Social,87.2,Remote,2024-12-11,7.9
213,Retail,Organic,10.32,Suburban,2024-02-07,6.3
214,Retail,Email,15.58,Suburban,2025-01-09,6.7
215,Retail,Email,6.56,Metro,2024-01-02,9.1
216,Retail,Email,19.65,Metro,2024-02-14,4.8
217,Retail,Organic,12.38,Rural,2024-06-22,7.5
218,Retail,Organic,9.42,Suburban,2024-06-24,9.1
219,Wholesale,Referral,0.0,Metro,2024-01-21,9.3
220,Corporate,Paid Social,77.66,Rural,2024-01-25,6.9
221,Retail,Paid Social,78.77,Metro,2025-03-27,6.9
222,Retail,Paid Social,56.58,Rural,2024-09-07,4.9
223,Retail,Email,25.91,Metro,2024-04-13,8.8
224,Retail,Referral,30.28,Remote,2024-08-10,6.4
225,Retail,Organic,5.26,Metro,2025-01-20,6.2
226,Corporate,Referral,36.71,Metro,2025-02-24,8.3
227,Retail,Organic,2.93,Suburban,2024-06-25,7.0
228,Retail,Paid Social,60.97,Metro,2024-04-03,6.3
229,Retail,Paid Social,59.17,Remote,2025-06-15,6.6
230,Retail,Organic,4.7,Suburban,2024-12-04,9.7
231,Wholesale,Organic,9.22,Metro,2025-06-10,8.1
232,Retail,Paid Social,85.59,Metro,2024-06-14,5.4
233,Corporate,Referral,36.48,Remote,2024-03-18,8.6
234,Corporate,Paid Social,75.03,Suburban,2024-07-23,5.1
235,Retail,Referral,7.04,Rural,2024-06-28,8.9
236,Retail,Email,7.31,Metro,2025-01-10,7.3
237,Retail,Paid Social,64.99,Remote,2025-01-16,6.6
238,Corporate,Email,17.73,Suburban,2024-02-02,5.1
239,Retail,Organic,6.01,Suburban,2024-11-04,4.9
240,Retail,Organic,15.62,Metro,2024-07-28,5.8
241,Corporate,Email,18.85,Metro,2024-12-27,9.3
242,Corporate,Email,22.34,Remote,2024-08-27,5.8
243,Retail,Organic,11.95,Remote,2024-10-08,8.5
244,Retail,Paid Social,62.99,Metro,2025-01-19,5.3
245,Corporate,Paid Social,108.64,Remote,2024-06-07,5.8
246,Retail,Referral,14.6,Metro,2024-04-20,7.7
247,Corporate,Paid Social,51.09,Metro,2025-01-14,8.1
248,Retail,Paid Social,45.03,Metro,2025-06-27,6.8
249,Retail,Paid Social,90.13,Metro,2024-08-11,6.6
250,Corporate,Paid Social,76.44,Metro,2025-06-19,7.7
251,Retail,Email,13.65,Metro,2024-04-19,6.4
252,Retail,Referral,15.36,Metro,2025-03-23,9.1
253,Retail,Paid Social,86.93,Rural,2025-06-02,7.2
254,Retail,Organic,9.45,Rural,2024-06-13,8.7
255,Corporate,Organic,13.64,Suburban,2024-03-13,7.4
256,Retail,Email,17.52,Metro,2024-12-07,6.7
257,Retail,Email,22.09,Rural,2025-04-23,6.2
258,Retail,Organic,9.2,Metro,2024-02-24,6.6
259,Wholesale,Organic,5.5,Rural,2024-12-03,6.5
260,Retail,Paid Social,59.41,Suburban,2025-04-20,6.5
261,Wholesale,Organic,3.26,Metro,2024-01-25,7.3
262,Corporate,Email,21.95,Metro,2024-10-09,7.7
263,Retail,Paid Social,75.7,Rural,2024-02-18,6.7
264,Corporate,Organic,11.96,Remote,2024-04-18,6.3
265,Corporate,Referral,30.67,Suburban,2024-09-01,6.5
266,Retail,Organic,7.49,Remote,2024-06-23,7.3
267,Retail,Organic,14.21,Remote,2024-02-22,6.7
268,Corporate,Organic,11.57,Metro,2025-03-08,6.5
269,Corporate,Organic,13.55,Rural,2024-04-09,9.6
270,Corporate,Organic,13.81,Metro,2025-04-22,5.8
271,Wholesale,Organic,7.5,Suburban,2024-04-23,10.0
272,Retail,Organic,9.55,Metro,2024-10-03,7.9
273,Corporate,Organic,11.1,Remote,2025-02-11,8.8
274,Corporate,Paid Social,41.32,Rural,2024-09-18,7.1
275,Retail,Email,8.98,Metro,2024-08-04,7.9
276,Retail,Paid Social,38.61,Metro,2025-02-28,8.1
277,Retail,Paid Social,60.05,Suburban,2024-01-06,4.8
278,Corporate,Paid Social,56.0,Rural,2025-03-25,5.9
279,Retail,Referral,9.64,Remote,2025-01-02,6.8
280,Corporate,Referral,25.49,Metro,2025-02-25,5.8
281,Retail,Organic,7.62,Suburban,2024-08-02,6.8
282,Retail,Organic,12.73,Suburban,2024-07-20,9.8
283,Retail,Organic,16.05,Metro,2024-11-11,7.4
284,Retail,Organic,9.83,Suburban,2024-12-13,10.0
285,Corporate,Paid Social,49.46,Metro,2025-05-04,8.6
286,Retail,Paid Social,73.64,Metro,2025-04-19,9.7
287,Wholesale,Organic,8.04,Metro,2024-01-18,9.9
288,Retail,Paid Social,57.68,Remote,2024-03-09,8.9
289,Wholesale,Paid Social,46.49,Metro,2025-06-14,6.5
290,Retail,Organic,6.14,Metro,2024-07-16,7.9
291,Retail,Email,16.58,Rural,2024-11-20,7.6
292,Retail,Organic,11.22,Remote,2024-02-16,7.6
293,Retail,Referral,29.11,Suburban,2024-02-02,8.0
294,Retail,Organic,15.3,Metro,2024-08-16,8.5
295,Corporate,Referral,30.74,Suburban,2025-01-10,7.2
296,Retail,Referral,28.24,Metro,2025-02-12,6.1
297,Retail,Referral,20.94,Suburban,2025-05-11,8.2
298,Retail,Email,9.7,Metro,2024-04-10,6.4
299,Retail,Email,13.44,Metro,2024-04-07,6.5
300,Corporate,Email,12.4,Metro,2024-10-10,7.0
301,Retail,Email,0.0,Suburban,2024-10-20,6.8
302,Corporate,Organic,3.97,Metro,2024-01-07,8.9
303,Wholesale,Paid Social,90.84,Metro,2024-09-22,5.9
304,Retail,Paid Social,68.63,Suburban,2025-05-13,7.5
305,Retail,Referral,20.23,Rural,2024-03-18,8.0
306,Retail,Paid Social,69.17,Metro,2025-03-04,6.0
307,Retail,Paid Social,26.84,Suburban,2024-09-06,6.3
308,Retail,Paid Social,67.08,Suburban,2024-10-26,4.6
309,Wholesale,Organic,13.11,Metro,2024-12-24,8.0
310,Retail,Organic,7.52,Remote,2025-01-02,8.6
311,Retail,Paid Social,30.1,Rural,2024-12-26,7.3
312,Corporate,Paid Social,54.55,Metro,2024-02-24,4.5
313,Retail,Organic,13.12,Metro,2024-06-04,5.8
314,Corporate,Paid Social,66.66,Metro,2025-04-07,5.5
315,Retail,Paid Social,36.47,Metro,2024-01-05,7.8
316,Retail,Paid Social,104.62,Suburban,2025-01-24,6.4
317,Wholesale,Paid Social,39.43,Remote,2024-10-24,5.2
318,Corporate,Email,16.06,Rural,2024-03-21,5.5
319,Corporate,Organic,3.85,Metro,2024-03-08,6.8
320,Retail,Referral,13.64,Suburban,2025-06-26,6.9
321,Corporate,Referral,19.48,Metro,2024-01-24,8.9
322,Retail,Paid Social,73.45,Suburban,2024-01-25,7.3
323,Retail,Paid Social,85.23,Metro,2024-01-11,4.8
324,Retail,Paid Social,55.05,Remote,2024-12-20,7.0
325,Retail,Referral,13.9,Rural,2025-05-19,8.6
326,Retail,Email,21.83,Metro,2024-04-05,5.8
327,Retail,Email,22.06,Suburban,2025-03-17,7.1
328,Corporate,Paid Social,66.33,Suburban,2025-01-16,6.5
329,Corporate,Paid Social,66.96,Rural,2024-05-17,6.3
330,Wholesale,Organic,7.55,Suburban,2024-02-10,5.5
331,Retail,Email,18.79,Metro,2024-09-19,7.4
332,Wholesale,Organic,7.27,Suburban,2024-02-25,8.4
333,Retail,Email,26.56,Metro,2024-03-17,9.1
334,Retail,Referral,46.28,Suburban,2024-09-25,7.0
335,Corporate,Organic,8.72,Metro,2025-03-22,6.9
336,Retail,Paid Social,61.88,Suburban,2025-06-09,5.8
337,Retail,Organic,9.02,Rural,2024-12-21,7.9
338,Retail,Email,12.74,Metro,2024-05-19,7.3
339,Retail,Organic,11.06,Metro,2024-06-27,8.3
340,Corporate,Referral,28.41,Rural,2024-12-10,6.4
341,Retail,Organic,6.32,Metro,2024-04-05,8.1
342,Retail,Referral,33.02,Suburban,2024-10-19,6.9
343,Retail,Email,18.15,Suburban,2025-02-18,7.0
344,Retail,Paid Social,44.54,Metro,2025-04-18,8.1
345,Corporate,Email,20.81,Rural,2024-02-21,5.5
346,Wholesale,Email,19.9,Suburban,2024-06-15,6.9
347,Corporate,Referral,33.6,Suburban,2024-05-01,6.3
348,Corporate,Organic,11.33,Metro,2024-10-25,7.8
349,Retail,Paid Social,60.03,Metro,2024-04-08,7.4
350,Corporate,Organic,6.11,Metro,2025-06-07,7.8
351,Retail,Paid Social,62.03,Remote,2025-05-23,6.0
352,Retail,Organic,9.45,Rural,2024-06-23,9.2
353,Retail,Paid Social,70.71,Rural,2024-08-15,6.5
354,Retail,Paid Social,67.43,Metro,2024-08-20,7.1
355,Corporate,Paid Social,60.37,Suburban,2024-01-03,7.0
356,Corporate,Paid Social,79.94,Rural,2025-04-08,2.6
357,Wholesale,Email,12.61,Suburban,2025-03-07,7.1
358,Retail,Email,37.84,Metro,2024-06-12,5.9
359,Retail,Paid Social,75.74,Rural,2024-10-11,5.1
360,Corporate,Paid Social,41.71,Metro,2024-07-02,7.9
361,Retail,Referral,25.85,Metro,2024-05-20,7.4
362,Retail,Organic,11.09,Remote,2024-06-17,9.9
363,Retail,Organic,6.6,Suburban,2024-02-11,5.9
364,Wholesale,Organic,2.02,Metro,2025-03-25,6.3
365,Corporate,Email,9.69,Suburban,2024-12-11,8.1
366,Retail,Paid Social,71.76,Remote,2025-05-04,5.7
367,Retail,Email,3.96,Metro,2024-01-24,7.6
368,Retail,Email,6.41,Rural,2024-12-04,7.1
369,Retail,Paid Social,71.66,Metro,2024-11-02,5.9
370,Retail,Referral,21.77,Metro,2024-12-14,7.4
371,Retail,Email,12.43,Suburban,2025-06-17,7.4
372,Retail,Organic,6.02,Suburban,2024-08-08,8.4
373,Retail,Paid Social,35.53,Metro,2024-03-24,8.0
374,Retail,Paid Social,70.72,Metro,2024-01-08,5.9
375,Retail,Organic,4.77,Suburban,2024-09-27,7.1
376,Retail,Organic,5.86,Suburban,2024-04-18,7.0
377,Corporate,Referral,27.47,Rural,2024-03-06,9.6
378,Retail,Paid Social,57.38,Rural,2024-03-12,6.9
379,Corporate,Paid Social,49.32,Metro,2024-05-03,3.8
380,Retail,Email,2.08,Suburban,2024-03-24,4.9
381,Retail,Paid Social,68.61,Suburban,2024-09-19,5.1
382,Retail,Referral,24.79,Suburban,2024-12-13,8.1
383,Retail,Email,13.86,Metro,2024-06-20,7.2
384,Retail,Paid Social,43.33,Metro,2024-03-18,6.7
385,Corporate,Paid Social,62.23,Metro,2024-11-17,5.9
386,Wholesale,Referral,28.8,Metro,2024-02-12,9.5
387,Retail,Email,18.78,Remote,2025-02-10,8.1
388,Retail,Referral,40.38,Suburban,2024-07-08,7.9
389,Corporate,Organic,10.82,Suburban,2024-08-23,9.0
390,Retail,Referral,22.93,Suburban,2024-05-14,5.8
391,Retail,Paid Social,75.29,Suburban,2024-06-14,6.0
392,Corporate,Organic,8.19,Suburban,2024-03-21,7.8
393,Retail,Paid Social,62.81,Suburban,2024-11-15,6.8
394,Retail,Email,28.37,Suburban,2024-03-27,5.1
395,Retail,Organic,4.41,Metro,2025-01-07,7.3
396,Retail,Paid Social,62.42,Suburban,2024-05-02,6.6
397,Retail,Email,27.52,Suburban,2024-11-12,7.8
398,Corporate,Organic,9.24,Rural,2024-10-15,9.0
399,Retail,Paid Social,55.36,Remote,2024-12-23,7.0
400,Corporate,Paid Social,31.29,Rural,2025-02-18,6.0
401,Corporate,Paid Social,21.13,Suburban,2024-11-27,6.9
402,Corporate,Referral,44.76,Metro,2025-04-03,7.6
403,Retail,Email,20.47,Suburban,2024-05-16,7.4
404,Retail,Organic,5.66,Rural,2025-02-24,8.6
405,Retail,Referral,27.49,Remote,2024-07-15,7.7
406,Retail,Referral,14.52,Rural,2024-12-08,8.2
407,Wholesale,Organic,6.68,Metro,2024-09-22,8.8
408,Retail,Email,10.47,Suburban,2025-05-25,8.1
409,Corporate,Organic,2.35,Rural,2024-05-08,9.1
410,Retail,Referral,2.95,Suburban,2024-10-16,10.0
411,Retail,Email,5.22,Suburban,2024-03-23,8.0
412,Retail,Email,26.17,Suburban,2024-12-05,6.6
413,Corporate,Organic,4.05,Suburban,2024-01-01,8.2
414,Retail,Referral,29.35,Metro,2024-08-21,8.4
415,Retail,Organic,11.83,Metro,2024-01-22,8.3
416,Corporate,Organic,8.07,Rural,2024-06-05,9.4
417,Retail,Organic,6.81,Remote,2024-09-17,5.6
418,Retail,Email,19.06,Rural,2024-06-21,9.0
419,Retail,Organic,6.33,Metro,2024-07-27,9.8
420,Retail,Referral,36.04,Metro,2024-03-23,8.5
421,Retail,Email,33.01,Metro,2025-01-07,7.9
422,Retail,Organic,13.8,Rural,2025-03-17,7.3
423,Retail,Organic,0.0,Suburban,2024-09-21,7.6
424,Retail,Organic,6.25,Remote,2024-01-08,8.4
425,Retail,Paid Social,62.07,Metro,2024-02-05,6.9
426,Retail,Email,21.7,Suburban,2025-01-13,8.1
427,Retail,Organic,1.09,Rural,2025-05-21,8.4
428,Retail,Referral,6.57,Metro,2025-04-15,8.9
429,Retail,Organic,13.23,Remote,2024-08-17,8.5
430,Retail,Email,13.53,Suburban,2024-09-19,6.0
431,Retail,Referral,9.13,Metro,2024-03-27,8.8
432,Wholesale,Email,9.17,Metro,2024-02-18,9.4
433,Corporate,Email,21.12,Rural,2025-02-04,7.2
434,Retail,Email,11.42,Suburban,2024-08-12,9.0
435,Retail,Organic,8.97,Rural,2024-09-05,6.5
436,Retail,Organic,4.09,Rural,2024-07-22,7.6
437,Corporate,Organic,1.02,Suburban,2024-06-28,6.8
438,Retail,Paid Social,87.64,Rural,2025-06-22,7.8
439,Retail,Email,21.19,Remote,2025-03-07,9.2
440,Retail,Paid Social,55.99,Metro,2025-01-20,6.0
441,Retail,Referral,18.79,Rural,2024-08-01,9.2
442,Retail,Organic,13.86,Metro,2025-01-08,9.6
443,Corporate,Email,22.73,Metro,2024-07-09,7.2
444,Wholesale,Organic,12.59,Metro,2024-10-14,7.8
445,Retail,Organic,5.67,Rural,2024-03-09,8.5
446,Retail,Email,18.41,Metro,2025-01-13,6.2
447,Retail,Referral,28.02,Suburban,2024-02-01,7.9
448,Retail,Paid Social,52.1,Suburban,2025-02-23,8.7
449,Retail,Organic,7.62,Metro,2024-11-12,7.0
450,Retail,Paid Social,51.5,Rural,2024-02-23,7.1
451,Corporate,Organic,9.6,Remote,2024-10-02,8.2
452,Wholesale,Referral,10.79,Metro,2024-05-25,7.6
453,Retail,Email,22.58,Metro,2024-09-18,7.5
454,Retail,Organic,9.24,Remote,2024-01-07,9.7
455,Retail,Organic,7.19,Metro,2025-01-22,8.3
456,Retail,Organic,9.8,Metro,2024-10-21,8.5
457,Retail,Referral,20.35,Remote,2024-07-21,9.7
458,Retail,Paid Social,49.94,Rural,2025-04-25,5.8
459,Retail,Email,22.35,Suburban,2024-12-27,5.9
460,Corporate,Paid Social,72.57,Suburban,2024-11-05,8.2
461,Retail,Paid Social,52.87,Remote,2024-03-08,6.3
462,Retail,Organic,5.63,Suburban,2024-10-02,8.7
